mz	p.value	t.score	mode
353.0647	0.136499292	2.331043123	negative
445.0267	0.146910777	2.272880929	negative
482.1492	0.109307605	2.534185957	negative
79.9573	0.314921235	1.573729845	negative
166.0179	0.502086297	-1.076352017	negative
167.0211	0.390797416	-1.358523109	negative
655.2775	0.798280085	-0.43071216	negative
381.1834	0.270788237	1.716230281	negative
397.1335	0.472525335	1.139430116	negative
392.0727	0.717194106	-0.606540092	negative
784.1529	0.083712624	-2.758429598	negative
483.1521	0.208700838	1.954783041	negative
178.0178	0.705268711	0.63355541	negative
388.1096	0.445045776	-1.19680742	negative
106.9807	0.038576294	3.353356804	negative
282.9852	0.118437378	2.46605839	negative
223.0756	0.000892035	7.077529395	negative
291.0932	0.256680101	1.773183509	negative
460.1288	0.357842307	1.447952735	negative
116.0353	0.230550445	1.874894596	negative
152.0023	0.330756077	1.525169935	negative
566.1386	0.114430829	2.497819344	negative
349.1197	0.178235465	2.10187076	negative
319.1019	0.451128932	1.182985519	negative
246.1507	0.140733718	2.306777102	negative
385.1886	0.844173494	-0.331965972	negative
413.1283	0.041975206	3.293032128	negative
460.1286	0.466593246	1.151784152	negative
124.9913	0.958193573	0.087966551	negative
152.0023	0.569930774	0.914620546	negative
182.0128	0.486030894	1.105983517	negative
183.0159	0.432735761	1.22848105	negative
184.0252	0.083079871	2.763394117	negative
289.0721	0.137300637	2.325657782	negative
516.2764	0.044714563	3.233515302	negative
353.0713	0.295560428	1.635327134	negative
921.4712	0.682965615	0.676228518	negative
349.1195	0.208710545	1.953946765	negative
460.129	0.781323438	0.470124056	negative
135.0453	0.178235465	2.102016335	negative
217.048	0.240589075	1.834177409	negative
239.0341	0.013913258	4.088062072	negative
463.0562	0.489288137	1.099981713	negative
324.9955	0.678214789	0.685932076	negative
213.0815	0.815449015	0.401692965	negative
220.8731	0.192452549	2.021193269	negative
305.0749	0.044714563	3.239379389	negative
201.1132	0.192452549	2.021916884	negative
281.0459	0.211065431	1.94461919	negative
307.0382	0.292262518	1.645313266	negative
218.1032	0.650598917	0.740008082	negative
124.9913	0.782456619	-0.465414806	negative
438.2626	0.304020598	1.602271398	negative
488.2547	0.387688073	1.370062868	negative
78.959	0.290014383	1.65383194	negative
